"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-11-05,1,2025-11-02,0.01,1894.77,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.025,1904.9,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.05,1914.75,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.1,1937.9,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.15,1952.85,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.2,1960.6,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.25,1969.25,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.3,1978.1,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.35,1987.3,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.4,1992,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.45,1995.55,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.5,2000,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.55,2012,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.6,2016,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.65,2022.35,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.7,2027.6,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.75,2037,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.8,2043.2,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.85,2047,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.9,2060.3,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.95,2076,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.975,2091.775,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.99,2098.33,"quantile","ILI incidence","AT"
2025-11-05,1,2025-11-02,0.01,140,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.025,142.475,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.05,146,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.1,150.8,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.15,152.85,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.2,155,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.25,157,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.3,160,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.35,163.3,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.4,165.6,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.45,167,"quantile","ILI incidence","BE"
2025-11-05,1,2025-11-02,0.5,168,"quantile","ILI incidence","BE"
