"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-03-11,1,2026-03-08,0.01,2400.58,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.025,2409.9,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.05,2424.65,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.1,2440.7,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.15,2453.7,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.2,2458.8,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.25,2466.5,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.3,2472.8,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.35,2478.3,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.4,2482.6,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.45,2489.1,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.5,2493.5,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.55,2500,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.6,2508.4,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.65,2513.7,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.7,2519.6,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.75,2527,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.8,2530,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.85,2535.45,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.9,2547.3,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.95,2576,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.975,2581.2,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.99,2587.43,"quantile","ILI incidence","AT"
2026-03-11,1,2026-03-08,0.01,285.96,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.025,292.95,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.05,295.95,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.1,302.8,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.15,305,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.2,308.6,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.25,311.75,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.3,314,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.35,315.65,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.4,318.6,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.45,320,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.5,323,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.55,326,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.6,327,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.65,329.7,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.7,333,"quantile","ILI incidence","BE"
2026-03-11,1,2026-03-08,0.75,335,"quantile","ILI incidence","BE"
