"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-10-08,1,2025-10-05,0.01,1752.64,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.025,1761.425,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.05,1773.7,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.1,1787.7,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.15,1798.85,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.2,1802.8,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.25,1809.75,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.3,1815.1,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.35,1819.3,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.4,1823.6,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.45,1829.1,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.5,1833,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.55,1838.45,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.6,1845.4,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.65,1850.35,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.7,1855.3,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.75,1861.25,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.8,1864,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.85,1868.45,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.9,1878.3,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.95,1903,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.975,1907.675,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.99,1913.37,"quantile","ILI incidence","AT"
2025-10-08,1,2025-10-05,0.01,95.98,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.025,99.475,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.05,101.95,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.1,105.9,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.15,108,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.2,109,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.25,111.75,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.3,113,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.35,114,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.4,115,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.45,117,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.5,117.5,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.55,120,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.6,121,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.65,122,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.7,124.3,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.75,126,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.8,126.2,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.85,128,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.9,131.1,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.95,137.05,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.975,139.575,"quantile","ILI incidence","BE"
2025-10-08,1,2025-10-05,0.99,142.03,"quantile","ILI incidence","BE"
