"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-02-11,1,2026-02-08,0.01,2825.54,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.025,2835.9,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.05,2851.65,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.1,2868.7,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.15,2882.85,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.2,2887.8,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.25,2896.5,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.3,2903.8,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.35,2911,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.4,2915,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.45,2922.55,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.5,2926.5,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.55,2933,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.6,2943.8,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.65,2949.7,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.7,2956.9,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.75,2962.5,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.8,2966.4,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.85,2974.75,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.9,2984.3,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.95,3015,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.975,3020.725,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.99,3027.47,"quantile","ILI incidence","AT"
2026-02-11,1,2026-02-08,0.01,466.78,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.025,474.8,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.05,483.9,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.1,490.8,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.15,495.85,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.2,497.8,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.25,502.5,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.3,506.7,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.35,508.65,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.4,513,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.45,514.55,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.5,516.5,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.55,520.45,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.6,524,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.65,525,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.7,529.6,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.75,533.25,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.8,534,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.85,537,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.9,543,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.95,552.25,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.975,558.525,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.99,565.02,"quantile","ILI incidence","BE"
2026-02-11,1,2026-02-08,0.01,117.98,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.025,118.475,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.05,121,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.1,125.9,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.15,128.85,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.2,131.6,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.25,134,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.3,135.7,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.35,137,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.4,138,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.45,139,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.5,141,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.55,143,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.6,145,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.65,146,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.7,147.3,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.75,150,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.8,152,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.85,155.15,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.9,158,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.95,161.05,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.975,165.625,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.99,172.01,"quantile","ILI incidence","HR"
2026-02-11,1,2026-02-08,0.01,51.99,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.025,52.475,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.05,56.9,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.1,64,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.15,65,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.2,66,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.25,67.75,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.3,69.7,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.35,72,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.4,73,"quantile","ILI incidence","CZ"
2026-02-11,1,2026-02-08,0.45,74,"quantile","ILI incidence","CZ"
