"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-11-12,1,2025-11-09,0.01,1998.62,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.025,2007.425,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.05,2020.7,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.1,2035.7,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.15,2046.85,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.2,2051.8,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.25,2058.75,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.3,2064.1,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.35,2069.95,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.4,2073.6,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.45,2079.1,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.5,2084,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.55,2089.45,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.6,2097.4,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.65,2102.35,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.7,2107.6,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.75,2114,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.8,2117,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.85,2121.45,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.9,2132.3,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.95,2159,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.975,2163.675,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.99,2169.39,"quantile","ILI incidence","AT"
2025-11-12,1,2025-11-09,0.01,122.99,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.025,126.9,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.05,130.95,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.1,134.9,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.15,138,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.2,139,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.25,142,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.3,144,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.35,144,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.4,146.6,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.45,148,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.5,149,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.55,152,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.6,153,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.65,154,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.7,157,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.75,158,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.8,159,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.85,161,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.9,164.1,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.95,171.05,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.975,173.575,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.99,176.04,"quantile","ILI incidence","BE"
2025-11-12,1,2025-11-09,0.01,0,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.025,0,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.05,0,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.1,0,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.15,1,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.2,1,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.25,1,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.3,1,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.35,1,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.4,2,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.45,2,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.5,2,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.55,2,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.6,2,"quantile","ILI incidence","HR"
2025-11-12,1,2025-11-09,0.65,3,"quantile","ILI incidence","HR"
